danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist
0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,Beautiful Crazy,Luke Combs
0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.009,Heaven,Kane Brown
0.631,0.44,1,-5.948,1,0.028,0.328,0,0.239,0.418,136.033,Speechless,Dan + Shay
0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,She Got the Best of Me,Luke Combs
0.375,0.889,3,-3.704,1,0.0991,0.0848,0,0.136,0.881,199.669,Simple,Florida Georgia Line
0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,What Ifs,Kane Brown
0.464,0.813,10,-6.185,1,0.0416,0.0153,0,0.254,0.516,75.975,Hurricane,Luke Combs
0.474,0.594,11,-5.756,1,0.0289,0.0292,0,0.133,0.503,86.131,Tequila,Dan + Shay
0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,Body Like A Back Road,Sam Hunt
0.386,0.799,2,-3.789,1,0.0555,0.201,0,0.103,0.391,86.333,Drunk Me,Mitchell Tenpenny
0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,When It Rains It Pours,Luke Combs
0.588,0.408,3,-8.662,1,0.0237,0.113,0,0.13,0.484,85.008,Marry Me,Thomas Rhett
0.544,0.781,6,-6.16,0,0.0311,0.00585,0,0.191,0.527,144.075,One Number Away,Luke Combs
0.549,0.869,4,-4.905,0,0.0289,0.00261,1.77e-06,0.29,0.433,91.988,Lose It,Kane Brown
0.66,0.383,2,-9.377,1,0.0304,0.381,0,0.119,0.381,83.096,Die A Happy Man,Thomas Rhett
0.607,0.536,10,-7.306,1,0.0305,0.386,0,0.102,0.434,147.986,In Case You Didn't Know,Brett Young
0.592,0.891,10,-3.144,1,0.0512,0.0267,0,0.352,0.674,99.983,Take It From Me,Jordan Davis
0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132.025,You Make It Easy,Jason Aldean
0.652,0.712,4,-4.588,1,0.0388,0.596,0,0.0814,0.553,120.063,Talk You Out Of It,Florida Georgia Line
0.543,0.88,3,-4.204,0,0.0365,0.035,0.000227,0.304,0.483,144.057,Girl Like You,Jason Aldean
