danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist
0.542,0.853,3,-6.407,0,0.0498,0.0103,0,0.108,0.37,105.256,In The End,Linkin Park
0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,Enter Sandman,Metallica
0.419,0.934,7,-3.908,0,0.12,0.000278,0.0015,0.132,0.286,127.288,Chop Suey!,System Of A Down
0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,Numb,Linkin Park
0.581,0.887,4,-3.659,0,0.0624,0.000504,0.00111,0.268,0.724,90.578,Last Resort,Papa Roach
0.448,0.826,2,-3.244,0,0.0319,0.00756,0,0.117,0.19,77.093,Zombie,Bad Wolves
0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,Sweet Child O' Mine,Guns N' Roses
0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12e-05,0.168,0.543,99.01,Kryptonite,3 Doors Down
0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,Under The Bridge,Red Hot Chili Peppers
0.445,0.955,8,-8.027,1,0.0856,0.0326,0.284,0.317,0.336,123.343,Welcome To The Jungle,Guns N' Roses
0.558,0.364,4,-11.258,0,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171,Nothing Else Matters,Metallica
0.316,0.945,4,-3.169,0,0.124,0.00895,1.85e-06,0.396,0.32,189.931,Bring Me To Life,Evanescence
0.413,0.873,8,-4.151,1,0.0535,0.000264,0.0025,0.204,0.481,116.681,Toxicity,System Of A Down
0.499,0.97,0,-2.838,1,0.116,0.000683,0.136,0.0871,0.0506,106.558,All Out Life,Slipknot
0.537,0.959,0,-3.002,0,0.0557,0.0704,1.8e-06,0.382,0.828,122.806,You Give Love A Bad Name,Bon Jovi
0.585,0.887,3,-5.086,0,0.0362,0.000376,0.0518,0.132,0.711,118.035,Hail to the King,Avenged Sevenfold
0.639,0.71,1,-7.445,1,0.0275,0.0133,0,0.118,0.378,119.989,Rx (Medicate),Theory of a Deadman
0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,Headstrong,Trapt
0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,Killing In The Name,Rage Against The Machine
0.557,0.886,11,-4.196,0,0.0498,0.000595,9.84e-05,0.0904,0.17,114.025,Bad Company,Five Finger Death Punch
0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93e-05,0.325,0.72,122.494,Livin' On A Prayer,Bon Jovi
0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,Drive,Incubus
