danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist
0.448,0.826,2,-3.244,0,0.0319,0.00756,0,0.117,0.19,77.093,Zombie,Bad Wolves
0.639,0.71,1,-7.445,1,0.0275,0.0133,0,0.118,0.378,119.989,Rx (Medicate),Theory of a Deadman
0.585,0.887,3,-5.086,0,0.0362,0.000376,0.0518,0.132,0.711,118.035,Hail to the King,Avenged Sevenfold
0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,The Sound Of Silence,Disturbed
0.483,0.926,4,-5.122,0,0.0669,0.00662,0,0.29,0.53,150.016,Wrong Side of Heaven,Five Finger Death Punch
0.543,0.965,6,-4.038,1,0.0963,0.000613,9.97e-06,0.0883,0.715,155.019,Jekyll and Hyde,Five Finger Death Punch
0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009,Down With The Sickness,Disturbed
0.499,0.97,0,-2.838,1,0.116,0.000683,0.136,0.0871,0.0506,106.558,All Out Life,Slipknot
0.501,0.779,10,-6.483,1,0.0421,0.000419,5.15e-05,0.139,0.231,106.024,Gone Away,Five Finger Death Punch
0.555,0.95,11,-3.948,0,0.0576,0.000172,2.83e-06,0.14,0.385,96.508,Sham Pain,Five Finger Death Punch
0.554,0.949,2,-4.928,1,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,Nightmare,Avenged Sevenfold
0.398,0.939,9,-2.865,0,0.0648,0.00591,0.000881,0.357,0.235,92.027,The Devil In I,Slipknot
0.619,0.696,7,-6.269,0,0.0315,1.89e-05,0.00555,0.38,0.727,125.986,Dance Macabre,Ghost
0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,Heavy (feat. Kiiara),Linkin Park
0.552,0.935,0,-4.096,1,0.0623,0.0174,1.98e-06,0.116,0.38,74.954,GET UP,Shinedown
0.485,0.987,4,-3.1,1,0.0738,2.08e-05,0,0.267,0.272,123.576,Wash It All Away,Five Finger Death Punch
0.354,0.942,7,-3.245,1,0.237,0.00039,6.36e-06,0.431,0.242,119.992,DEVIL,Shinedown
0.474,0.923,2,-3.405,1,0.0897,0.0199,0,0.0673,0.347,160.035,Porn Star Dancing,My Darkest Days
0.437,0.337,5,-11.439,1,0.0326,0.0371,0.000946,0.0981,0.0784,114.239,Glycerine,Bush
0.447,0.966,7,-2.966,1,0.089,0.00349,0.000198,0.312,0.533,178.105,Cut The Cord,Shinedown
0.443,0.844,11,-5.414,0,0.0425,0.00251,0,0.085,0.452,76.001,Angel,Theory of a Deadman
0.666,0.775,2,-5.458,0,0.0979,0.0226,0,0.254,0.59,144.998,Elevate,Papa Roach
0.537,0.847,6,-5.208,1,0.0383,0.00236,1.16e-06,0.0844,0.459,106.055,Bottom of a Bottle,Smile Empty Soul
0.486,0.94,7,-4.237,0,0.0605,0.00919,0,0.0777,0.42,79.727,State Of My Head,Shinedown
0.51,0.862,7,-5.105,1,0.028,0.001,4.28e-06,0.0893,0.461,156.126,Blue on Black,Five Finger Death Punch
0.568,0.907,5,-4.641,0,0.0488,0.00115,0,0.0982,0.337,112.037,Infra-Red,Three Days Grace
0.576,0.906,2,-7.677,1,0.0571,0.000332,0.0614,0.0908,0.211,127.935,Shepherd of Fire,Avenged Sevenfold
0.585,0.972,9,-4.45,0,0.0534,0.0143,0,0.0707,0.585,110.006,BURN IT DOWN,Linkin Park
0.338,0.806,9,-7.417,0,0.0767,0.00343,0,0.144,0.278,160.821,Hear Me Now (feat. DIAMANTE),Bad Wolves
0.44,0.916,4,-4.222,0,0.266,0.000236,1.94e-05,0.0897,0.401,124.099,When Legends Rise,Godsmack
0.532,0.633,11,-5.106,0,0.0682,0.00378,0,0.0804,0.448,164.13,Courtesy Call,Thousand Foot Krutch
0.489,0.887,1,-5.388,0,0.081,0.00209,0,0.0531,0.626,175.969,White Rabbit,Egypt Central
0.488,0.842,6,-5.926,1,0.0469,0.0116,0.00127,0.146,0.41,90.003,You're Going Down,Sick Puppies
0.374,0.903,10,-4.49,1,0.0825,0.00075,5.85e-06,0.244,0.429,109.118,A Warrior's Call,Volbeat
0.525,0.85,9,-5.469,0,0.0678,0.0571,0,0.0555,0.275,134.115,Born For Greatness,Papa Roach
0.543,0.808,10,-5.484,1,0.0407,7.19e-05,0.00336,0.114,0.472,95.19,Cryin' Like A Bitch!!,Godsmack
0.4,0.886,7,-5.078,1,0.0521,0.000868,0.000211,0.122,0.406,195.958,Angels Fall,Breaking Benjamin
0.402,0.97,2,-4.538,0,0.0668,1.29e-05,2.62e-06,0.189,0.476,75.106,I Am Machine,Three Days Grace
0.39,0.91,5,-3.268,0,0.133,0.000198,0,0.156,0.644,162.253,Bulletproof,Godsmack
0.603,0.886,5,-3.777,0,0.0837,0.00045,0,0.26,0.395,126.025,Feel Invincible,Skillet
0.376,0.967,3,-3.277,0,0.166,0.000248,2.64e-06,0.0575,0.226,91.582,Red Cold River,Breaking Benjamin
0.32,0.909,7,-4.612,1,0.0412,1.62e-05,0.139,0.0443,0.21,109.649,The Devil's Bleeding Crown,Volbeat
0.469,0.958,4,-3.382,0,0.0865,0.00183,0.00116,0.107,0.262,76.997,House of the Rising Sun,Five Finger Death Punch
0.478,0.971,7,-2.729,1,0.0858,3.83e-05,2.77e-05,0.295,0.284,90.526,Blood,Breaking Benjamin
0.567,0.946,2,-3.973,0,0.0935,0.00267,0,0.0567,0.699,94.985,Welcome to the Family,Avenged Sevenfold
0.274,0.652,5,-6.196,0,0.0625,0.00768,6.42e-05,0.108,0.1,173.009,My Demons,Starset
0.524,0.843,10,-5.578,0,0.0536,0.000417,0.125,0.375,0.212,85.993,Chaos And Earthquakes,Nonpoint
0.52,0.985,4,-4.163,1,0.14,9.72e-05,0,0.208,0.15,75.014,Lift Me Up,Five Finger Death Punch
0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,Dark Necessities,Red Hot Chili Peppers
0.522,0.944,2,-5.731,0,0.0936,6.11e-06,0.482,0.135,0.236,124.029,Rats,Ghost
0.53,0.903,2,-4.396,0,0.0483,3.31e-05,0.182,0.259,0.747,129.983,Square Hammer,Ghost
0.469,0.969,0,-2.219,1,0.0589,0.009,1.11e-05,0.346,0.476,164.042,I Miss The Misery,Halestorm
0.392,0.976,7,-2.189,1,0.107,0.000107,0,0.271,0.521,199.888,Are You Ready,Disturbed
0.551,0.962,11,-3.856,0,0.237,0.000944,0.000174,0.138,0.512,155.104,Last Resort - The Rework,Papa Roach
0.481,0.944,8,-3.665,1,0.231,0.00926,0.000328,0.278,0.396,165.02,The Time Is Now,Atreyu
0.58,0.877,1,-4.193,0,0.0395,0.00122,0,0.322,0.614,129.968,Bitch Came Back,Theory of a Deadman
0.376,0.95,9,-4.067,1,0.0641,0.00021,0,0.0377,0.438,178.018,Painkiller,Three Days Grace
0.604,0.883,11,-3.821,0,0.047,0.0254,0,0.0813,0.544,90.001,Whore,In This Moment
0.31,0.825,1,-4.53,1,0.0563,0.00356,0,0.641,0.475,89.885,The Reckoning,Within Temptation
0.609,0.937,6,-2.912,1,0.0495,0.00324,0.000294,0.129,0.493,95.961,Click Click Boom,Saliva
0.548,0.855,3,-3.266,1,0.151,0.0149,0,0.127,0.644,145.133,The Drug In Me Is You,Falling In Reverse
0.582,0.928,10,-4.659,0,0.0635,0.00876,5.03e-06,0.297,0.565,113.043,The Heart From Your Hate,Trivium
0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,Absolute Zero,Stone Sour
0.481,0.945,1,-5.468,1,0.0813,0.00264,0,0.135,0.427,157.059,Song #3,Stone Sour
0.529,0.92,3,-4.168,1,0.0649,2.87e-05,0.00202,0.0582,0.438,111.132,Halo,Soil
0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,CASTLE OF GLASS,Linkin Park
0.431,0.903,2,-5.462,1,0.125,0.0555,0.00217,0.0883,0.133,186.036,Come Around,Papa Roach
0.241,0.534,3,-7.207,1,0.0321,0.0561,2.13e-06,0.103,0.277,159.974,Ashes of Eden,Breaking Benjamin
0.215,0.911,9,-4.715,1,0.0394,6.07e-05,3.47e-06,0.183,0.47,183.535,Love-Hate-Sex-Pain,Godsmack
0.354,0.943,5,-3.633,1,0.288,0.000113,0.0187,0.104,0.367,94.416,Torn in Two,Breaking Benjamin
0.505,0.929,9,-4.69,0,0.0529,0.00068,0,0.167,0.419,77.991,I Apologize,Five Finger Death Punch
0.681,0.833,4,-4.334,1,0.121,0.179,0,0.0677,0.889,184.975,Bullet,Hollywood Undead
0.462,0.89,1,-4.853,1,0.0382,2.99e-05,0.00909,0.0685,0.383,155.008,Failure,Breaking Benjamin
0.507,0.918,2,-4.684,1,0.0701,0.00107,8.7e-06,0.311,0.284,92.006,Help,Papa Roach
0.52,0.887,0,-3.296,1,0.0349,0.0665,0.000179,0.186,0.793,122.528,Livin' On A Prayer,Bon Jovi
0.507,0.966,1,-2.635,1,0.046,0.00159,0,0.336,0.502,136.035,Enemies,Shinedown
0.238,0.967,4,-2.602,0,0.136,0.000213,1.18e-06,0.26,0.58,170.128,The Vengeful One,Disturbed
0.595,0.667,6,-6.442,1,0.034,0.296,0,0.109,0.272,121.949,Country Boy (feat. George Jones & Charlie Daniels),Aaron Lewis
0.13,0.991,11,-3.126,1,0.0604,1.15e-05,0.00412,0.225,0.505,185.364,Hardwired,Metallica
0.4,0.982,8,-2.147,1,0.123,3.15e-05,8.2e-05,0.133,0.384,155.046,Feed the Wolf,Breaking Benjamin
0.547,0.944,4,-3.304,0,0.0507,4.81e-05,0.0451,0.195,0.364,93.966,Be Legendary,Pop Evil
0.453,0.911,2,-3.775,0,0.0382,0.00554,0,0.0627,0.218,137.011,Fallen Angel,Three Days Grace
0.569,0.883,2,-4.41,0,0.0747,8.07e-05,7.74e-05,0.0883,0.373,134.003,Your Betrayal,Bullet For My Valentine
0.496,0.9,4,-6.107,0,0.0311,0.00137,0,0.0749,0.546,156.073,When the Seasons Change,Five Finger Death Punch
0.607,0.804,9,-5.209,0,0.0296,0.00116,0,0.159,0.469,139.983,Buried Alive,Avenged Sevenfold
0.504,0.973,6,-2.887,1,0.185,1.82e-05,0.0427,0.183,0.685,143.067,Waking Lions,Pop Evil
0.556,0.792,7,-5.62,0,0.0281,0.00297,1.68e-05,0.211,0.269,89.966,Cirice,Ghost
0.286,0.703,4,-4.491,0,0.0348,0.00847,7.39e-05,0.142,0.259,151.297,So Far Away,Avenged Sevenfold
0.492,0.932,10,-4.689,1,0.052,0.000572,4.75e-06,0.123,0.33,92.497,The Mountain,Three Days Grace
0.539,0.894,9,-4.483,0,0.0469,0.1,1.69e-05,0.1,0.509,90.004,The Ending,Papa Roach
0.474,0.948,3,-2.592,1,0.122,0.0223,0,0.43,0.611,146.46,Good Girls Bad Guys,Falling In Reverse
0.528,0.942,3,-2.825,0,0.0512,8.26e-05,0,0.344,0.421,110.058,Falling Apart,Papa Roach
0.54,0.967,1,-4.174,0,0.162,0.00796,0,0.683,0.293,136.896,Black Wedding (feat. Rob Halford),In This Moment
0.474,0.995,5,-4.316,0,0.279,0.000109,0.00976,0.05,0.0394,125.025,My Own Grave,As I Lay Dying
0.459,0.903,5,-4.649,0,0.0673,0.00877,0,0.168,0.364,76.185,Letting You Go,Bullet For My Valentine
0.59,0.979,6,-3.763,0,0.103,0.000128,0,0.0819,0.724,102.993,Mama Said Knock You Out (feat. Tech N9ne),Five Finger Death Punch
0.483,0.941,2,-3.598,0,0.0575,0.000526,3.5e-06,0.31,0.503,156.033,The Resistance,Skillet
0.412,0.896,2,-3.807,1,0.0967,0.000155,0.00471,0.134,0.434,172.343,Renegade Music,Papa Roach
0.487,0.646,2,-6.878,0,0.0299,0.202,3.1e-06,0.11,0.16,97.083,The Dark of You,Breaking Benjamin
0.447,0.935,8,-4.23,1,0.0906,0.000193,0.00728,0.0865,0.289,140.03,In The End,Black Veil Brides
0.512,0.86,11,-5.139,1,0.0604,0.0492,0,0.0968,0.366,154.995,I Refuse,Five Finger Death Punch
