danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist
0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,Wow.,Post Malone
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,SICKO MODE,Travis Scott
0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,Going Bad (feat. Drake),Meek Mill
0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,Mo Bamba,Sheck Wes
0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,ZEZE (feat. Travis Scott & Offset),Kodak Black
0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,Lucid Dreams,Juice WRLD
0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,Leave Me Alone,Flipp Dinero
0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,Money,Cardi B
0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,Better Now,Post Malone
0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,Nonstop,Drake
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,SAD!,XXXTENTACION
0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,Armed And Dangerous,Juice WRLD
0.9,0.653,1,-6.962,0,0.289,0.0945,0,0.528,0.399,112.503,Drip Too Hard,Lil Baby
0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,Wake Up in the Sky,Gucci Mane
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,Moonlight,XXXTENTACION
0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,a lot,21 Savage
0.745,0.715,1,-3.368,0,0.245,0.128,0,0.182,0.342,94.513,KIKA (feat. Tory Lanez),6ix9ine
0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,YOSEMITE,Travis Scott
0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,Taste (feat. Offset),Tyga
0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,rockstar (feat. 21 Savage),Post Malone
0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION
0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,I Like It,Cardi B
0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,Psycho (feat. Ty Dolla $ign),Post Malone
0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,Jocelyn Flores,XXXTENTACION
0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,I Fall Apart,Post Malone
0.89,0.607,9,-6.916,0,0.124,0.158,0.000228,0.118,0.224,134.022,monster,21 Savage
0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,Noticed,Lil Mosey
0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,I Love It (& Lil Pump),Kanye West
0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,Space Cadet (feat. Gunna),Metro Boomin
0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,changes,XXXTENTACION
0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75e-06,0.109,0.039,105.955,Topanga,Trippie Redd
0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,God's Plan,Drake
0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,All Girls Are The Same,Juice WRLD
0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine
0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,Fine China,Future
0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,Fuck Love (feat. Trippie Redd),XXXTENTACION
0.78,0.492,5,-3.4,0,0.0671,0.0643,0.0313,0.174,0.374,143.983,BAD!,XXXTENTACION
0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,Look Back At It,A Boogie Wit da Hoodie
0.808,0.617,10,-9.32,0,0.442,0.113,0,0.734,0.632,149.962,Nuketown (feat. Juice WRLD),Ski Mask The Slump God
0.736,0.622,6,-4.653,0,0.133,0.0235,0,0.151,0.506,191.971,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie
0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,XO TOUR Llif3,Lil Uzi Vert
0.81,0.353,6,-9.931,0,0.31,0.588,0,0.102,0.0727,88.031,10 Freaky Girls (with 21 Savage),Metro Boomin
0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,In My Feelings,Drake
0.91,0.366,1,-9.954,1,0.0941,0.0996,0,0.261,0.74,119.985,Calling My Spirit,Kodak Black
0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,Lean Wit Me,Juice WRLD
0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG
0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,Yes Indeed,Lil Baby
0.85,0.785,8,-4.963,0,0.345,0.0367,0,0.155,0.718,145.063,New Patek,Lil Uzi Vert
0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,STARGAZING,Travis Scott
0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,1400 / 999 Freestyle,Trippie Redd
0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,Congratulations,Post Malone
0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,Falling Down - Bonus Track,Lil Peep
0.892,0.53,6,-7.644,0,0.239,0.0485,0,0.107,0.403,92.997,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie
0.718,0.767,9,-5.641,1,0.166,0.138,0,0.114,0.519,160.084,Lust,Lil Skies
0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,No Stylist,French Montana
0.81,0.55,2,-7.46,0,0.17,0.0114,5.69e-06,0.107,0.183,76.503,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie
0.82,0.691,6,-6.646,0,0.0723,0.0115,0,0.344,0.683,142.027,TIC TOC (feat. Lil Baby),6ix9ine
0.715,0.639,5,-5.017,0,0.0752,0.0622,0,0.157,0.151,149.996,Hide (feat. Seezyn),Juice WRLD
0.761,0.672,1,-5.887,1,0.212,0.0893,9.77e-06,0.14,0.437,160.077,"MAMA (feat. Nicki Minaj, Kanye West)",6ix9ine
0.757,0.69,1,-5.327,0,0.282,0.0716,0,0.192,0.914,132.064,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby
0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,Look Alive (feat. Drake),BlocBoy JB
0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,goosebumps,Travis Scott
0.743,0.87,1,-2.188,1,0.212,0.0595,0,0.299,0.884,99.075,Uproar,Lil Wayne
